Recoding ID,genre,subgenre,Song Title,singer,Gender,YouTube URL,duration_sec
,Zikir,,Kabarat Pratham Rati,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Kabarat Kotha Suni,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Kalima Hakikat,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,He Mor Dayalu Khuda,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Jannatloi Jawane,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Din Duniya,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Ki Je Dhuniya Behetu,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Heya Rasulalla,Md. Bulbul Hussain,M,https://youtu.be/kTBr7dEHI10,
,Zikir,,Hazarat Billal Vol -1,Md. Bulbul Hussain,M,https://youtu.be/m1FqPkGyNus,
,Zikir,,Bibi Fatema,Md. Bulbul Hussain,M,https://youtu.be/uYuSQtRvbNk,
,Zikir,,Kalsum Bibir Kahini,Md. Bulbul Hussain,M,https://youtu.be/eoqRtnWYqAM,
,Zikir,,Phool Phulishe,Md. Bulbul Hussain,M,https://youtu.be/Qboo4RmYHxA,
,Zikir,,Maa Hajera Kande Hai,Md. Bulbul Hussain,M,https://youtu.be/Qboo4RmYHxA,
,Zikir,,O Mur Ammi Jaan O Mur Abba Jaan,Md. Bulbul Hussain,M,https://youtu.be/Qboo4RmYHxA,
,Zikir,,Hejara Bibir Kahini,Md. Bulbul Hussain,M,https://www.youtube.com/hashtag/bulbulhussain,
,Zikir,,Tumare Gulam Navi Hazaro Shalam,Md. Bulbul Hussain,M,https://www.youtube.com/hashtag/bulbulhussain,
,Zikir,,Hashar Quamat,Md. Bulbul Hussain,M,https://youtu.be/L4kWnwAl_rg,
,Zikir,,Baba Adom Hawa Maai,Md. Bulbul Hussain,M,https://youtu.be/L4kWnwAl_rg,
,Zikir,,Shalam Janau,Md. Bulbul Hussain,M,https://youtu.be/L4kWnwAl_rg,
,Zikir,,Magribor Ajaan huni,Md. Bulbul Hussain,M,https://youtu.be/mSTLmZUGtQk,
,Zikir,,Karbala hoi,Md. Bulbul Hussain,M,https://youtu.be/3IM-Kk7ZzsE,
,Zikir,,O Dul Dul,Md. Bulbul Hussain,M,https://music.youtube.com/search?q=%23assamesegk2024,
,Zikir,,Bola Hokhi Bola Jau,Md. Bulbul Hussain,M,https://music.youtube.com/search?q=%23assamesegk2024,
,Zikir,,Mumin He Dosti Rakha,Rekibuddin Ahmed,M,https://youtu.be/4dLL2ufQkP8,
,Zikir,,Haire Kinu Babar Kinu Haal,Rekibuddin Ahmed,M,https://youtu.be/KhXeXMMKigs,
,Zikir,,Marhabba Mustaffa,Rekibuddin Ahmed,M,https://youtu.be/mSTLmZUGtQk,
,Zikir,,Dohe So Dukuri,Rekibuddin Ahmed,M,https://youtu.be/nmfT8m79zeQ,
,Zikir,,Dhou Dekhi Kande Mur Prane,Rekibuddin Ahmed,M,https://youtu.be/oXpGKbGVPEE,
,Zikir,,Sishu kale g'le,Rekibuddin Ahmed,M,https://youtu.be/WMfwfTJzmzM,
,Zikir,,Dui Mone,Zubeen Garg,M,https://youtu.be/6zEoVEnRn6s,
,Zikir,,Kalima Namaz,Zubeen Garg,M,https://youtu.be/78Lf1cgQ_HQ,
,Zikir,,Mur Monot Bhed Bhav Nai,Zubeen Garg,M,https://youtu.be/3wT-yDbMogs,
,Zikir,,Naame Mullaji,Zubeen Garg,M,https://youtu.be/J7F9mPraEao,
,Zikir,,Mon Bhabonat,Zubeen Garg,M,https://music.youtube.com/playlist?list=OLAK5uy_kAGYcrYnTt8lVqMHwzmDCKt1anlspE9E0,
,Zikir,,Monu Rai,Zubeen Garg,M,https://music.youtube.com/playlist?list=OLAK5uy_kAGYcrYnTt8lVqMHwzmDCKt1anlspE9E0,
,Zikir,,Gurujonai Bule,Zubeen Garg,M,https://youtu.be/J7F9mPraEao,
,Zikir,,Loa Nam Banda Tumi,Farheena Nasrin,F,https://youtu.be/VdwViKkzBNc,
,Zikir,,Hindu Ki Musolman,Farheena Nasrin,F,https://youtu.be/Izsmzo_rwkc,
,Zikir,,Nosibor Nija Nam,Farheena Nasrin,F,https://youtu.be/HD_xDCfCwFc,
,Zikir,,Bhojile Allak Pai,Farheena Nasrin,F,https://youtu.be/HD_xDCfCwFc,
,Zikir,,Neriba Kolima,Farheena Nasrin,F,https://youtu.be/DSNqfhu4Ero,
,Zikir,,Ramzanor Kasijon,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqD2yJKvcH-aofrxkjZnR7KT,
,Zikir,,Hassan Hussen Shahid,Farheena Nasrin,F,https://www.youtube.com/c/farheenanasrin,
,Zikir,,Duniat Kiyamat Hobo,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqD2yJKvcH-aofrxkjZnR7KT,
,Zikir,,Sahab E Jaan,Farheena Nasrin,F,https://youtu.be/zMSoV9XRrs4,
,Zikir,,Obhokoti More Pran,Farheena Nasrin,F,https://youtu.be/VdwViKkzBNc,
,Zikir,,Ya Muhammad Rasul,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqAgrSWdINO5W6MIzF2AnKxs,
,Zikir,,Ya Allahu,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqAgrSWdINO5W6MIzF2AnKxs,
,Zikir,,Duniya Maya Jaal,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqAgrSWdINO5W6MIzF2AnKxs,
,Zikir,,Ramzan Ramzan,Farheena Nasrin,F,https://music.youtube.com/playlist?list=PLS8lGgeQpLqAgrSWdINO5W6MIzF2AnKxs,
,Zikir,,Allahab Kinaay,Bhupen Hazarika,M,https://www.jiosaavn.com/artist/ajan-fakir-songs/5Y1dloudok0_,
,Zikir,,Allhaar Bine Key Nai Aan,Bhupen Hazarika,M,https://www.jiosaavn.com/artist/ajan-fakir-songs/5Y1dloudok0_,
,Zikir,,Allahar Bine,Bhupen Hazarika,M,https://www.jiosaavn.com/artist/ajan-fakir-songs/5Y1dloudok0_,
,Zikir,,Hoy Saheb Hoy,Bhupen Hazarika,M,https://youtu.be/rJPk4j5totA,
,Zikir,,Ramjanare Roja Galo,Mohammed Rafi,M,https://grokipedia.com/page/List_of_songs_recorded_by_Mohammed_Rafi_(U%E2%80%93Z),
,Zikir,,Saheb Jai Agote Bhokot Jai Pasote,Mohammed Rafi,M,https://grokipedia.com/page/List_of_songs_recorded_by_Mohammed_Rafi_(U%E2%80%93Z),
,Zikir,,Asameere Chotaalate,Mohammed Rafi,M,https://grokipedia.com/page/List_of_songs_recorded_by_Mohammed_Rafi_(U%E2%80%93Z),
,Zikir,,Axomire Sutalote,Mohammed Rafi,M,https://grokipedia.com/page/List_of_songs_recorded_by_Mohammed_Rafi_(U%E2%80%93Z),
,Zikir,,Manuhoi Jonom Loi,Nurul Amin,M,https://youtu.be/-VrOCUAOzG4,
,Zikir,,Misate Lovili Manobi Jonom,Bornali Kalita,F,https://youtu.be/pEVZet4mlmE,
,Zikir,,Borluitor Dupare,Nahid Afrin,F,https://youtu.be/Bqrf9OJDq4Y,
,Zikir,,Saheb Jai Aagote,Zublee Baruah,F,https://youtu.be/3b_cU8VQG0M,
,Zikir,,Paroloi Sopai Diya Nao,Wahida Rahman,F,https://youtu.be/G_qfzOlg--A,
,Zikir,,Bismilla Buli Moi,Shovana Chiddika,F,https://youtu.be/pOM25d_ZT2s,
,Zikir,,Jibore Harothi Nam Mur Allah,Nasir,M,https://youtu.be/bZsUItwb6So,
,Zikir,,Rahamar Giri Hat,Mahshina Siddika,F,https://music.youtube.com/search?q=%23jikirsong,
,Zikir,,Saheb Jai Agote,Nekib,M,https://youtu.be/d31tZy7r10M,
,Zikir,,Saheb Jai Agote,Ashif & Washim Ayan,Mixed,https://youtu.be/DR6VBCYdkfg,
,Zikir,,Assamese Jikir Cover,Prianka Kalita,F,https://youtu.be/Bqrf9OJDq4Y,
,Zikir,,Ei Prithibit Jonom Lolo,Alauddin,M,https://www.youtube.com/hashtag/assamesezikir,
,Zikir,,Dhou Dekhi Kande Mor,Naazir Hussain,M,https://youtu.be/D5OROQiYZvU,
,Zikir,,Duniya Dari,Binod Bharadwaj,M,https://youtu.be/--U646PzNFA,
,Zikir,,Rohom koriba bandak,Mojammil Hussain,M,https://youtu.be/pOM25d_ZT2s,